"","classification_id","user_name","subject_ids","workflow_version","task_index","task","task_label","array.index","choice","answers.HOWMANY","answers.ESTIMATEOFSNOWDEPTHSEETUTORIALORFIELDGUIDE","answers.ANTLERSPRESENT","answers.HOWMANYPEOPLE","answers.WHATTYPEOFHUMAN","workflow_id","id","class.count","round","Imj1","Imj2","Img3","CamNum","SD_card_num","Event"
"1",293839821,"Suem28",52256696,"11.8",1,"T0",NA,1,"SQUIRRELGRAY","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73024141",5,"R1","C28_SD18_R1_0343.JPG","C28_SD18_R1_0344.JPG","C28_SD18_R1_0345.JPG","28","18","247"
"2",293839995,"Suem28",52259301,"11.8",1,"T0",NA,1,"DEERWHITETAILED","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73286645",5,"R1","C45_SD5_R1_0025.JPG","C45_SD5_R1_0026.JPG","C45_SD5_R1_0027.JPG","45","5","1551"
"3",293840382,"Suem28",52259303,"11.8",1,"T0",NA,1,"CHIPMUNK","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73015419",5,"R1","C45_SD5_R1_0031.JPG","C45_SD5_R1_0032.JPG","C45_SD5_R1_0033.JPG","45","5","1553"
"4",293840905,"Suem28",52256564,"11.8",1,"T0",NA,1,"SQUIRRELGRAY","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73366604",5,"R1","C28_SD18_R1_0151.JPG","C28_SD18_R1_0152.JPG","C28_SD18_R1_0153.JPG","28","18","183"
"5",293841018,"Suem28",52257025,"11.8",1,"T0",NA,1,"OTHERBIRD",NA,NA,NA,NA,NA,16695,"72975446",5,"R1","C28_SD18_R1_0829.JPG","C28_SD18_R1_0830.JPG","C28_SD18_R1_0831.JPG","28","18","409"
"6",293921028,"Suem28",52256895,"11.8",1,"T0",NA,1,"SQUIRRELGRAY","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73488143",5,"R1","C28_SD18_R1_0646.JPG","C28_SD18_R1_0647.JPG","C28_SD18_R1_0648.JPG","28","18","348"
"7",293921207,"Suem28",52256937,"11.8",1,"T0",NA,1,"SQUIRRELGRAY","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"72909024",5,"R1","C28_SD18_R1_0709.JPG","C28_SD18_R1_0710.JPG","C28_SD18_R1_0711.JPG","28","18","369"
"8",293921492,"Suem28",52259825,"11.8",1,"T0",NA,1,"DEERWHITETAILED","1","NOSNOWBAREGROUND","NO",NA,NA,16695,"73030851",5,"R1","C52_SD69_R1_0127.JPG","C52_SD69_R1_0128.JPG","C52_SD69_R1_0129.JPG","52","69","1831"
"9",293921805,"Suem28",52259329,"11.8",1,"T0",NA,1,"DEERWHITETAILED","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"72892307",5,"R1","C45_SD5_R1_0064.JPG","C45_SD5_R1_0065.JPG","C45_SD5_R1_0066.JPG","45","5","1564"
"10",293921945,"Suem28",52256591,"11.8",1,"T0",NA,1,"SQUIRRELGRAY","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73347776",5,"R1","C28_SD18_R1_0190.JPG","C28_SD18_R1_0191.JPG","C28_SD18_R1_0192.JPG","28","18","196"
"11",293922106,"Suem28",52256383,"11.8",1,"T0",NA,1,"RACCOON","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73347274",5,"R1","C27_SD25_R1_0022.JPG","C27_SD25_R1_0023.JPG","C27_SD25_R1_0024.JPG","27","25","93"
"12",293923084,"Suem28",52256561,"11.8",1,"T0",NA,1,"SQUIRRELGRAY","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"72974161",5,"R1","C28_SD18_R1_0145.JPG","C28_SD18_R1_0146.JPG","C28_SD18_R1_0147.JPG","28","18","181"
"13",293923216,"Suem28",52259781,"11.8",1,"T0",NA,1,"DEERWHITETAILED","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"72690596",5,"R1","C52_SD69_R1_0061.JPG","C52_SD69_R1_0062.JPG","C52_SD69_R1_0063.JPG","52","69","1809"
"14",293923598,"Suem28",52259577,"11.8",1,"T0",NA,1,"BLACKBEAR","23","NOSNOWBAREGROUND",NA,NA,NA,16695,"73019784",5,"R1","C48_SD71_R1_0196.JPG","C48_SD71_R1_0197.JPG","C48_SD71_R1_0198.JPG","48","71","1697"
"15",294054788,"Suem28",52259778,"11.8",1,"T0",NA,1,"DEERWHITETAILED","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"72994777",5,"R1","C52_SD69_R1_0055.JPG","C52_SD69_R1_0056.JPG","C52_SD69_R1_0057.JPG","52","69","1807"
"16",294054848,"Suem28",53235307,"11.8",1,"T0",NA,1,"DEERWHITETAILED","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73998688",6,"beta test","C23_EK000124.JPG","C23_EK000125.JPG","C23_EK000126.JPG","23",NA,"87"
"17",294054927,"Suem28",52256854,"11.8",1,"T0",NA,1,"SQUIRRELGRAY","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"72909585",5,"R1","C28_SD18_R1_0583.JPG","C28_SD18_R1_0584.JPG","C28_SD18_R1_0585.JPG","28","18","327"
"18",294090095,"Suem28",52257093,"11.8",1,"T0",NA,1,"RACCOON","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73065477",5,"R1","C28_SD18_R1_0931.JPG","C28_SD18_R1_0932.JPG","C28_SD18_R1_0933.JPG","28","18","443"
"19",294090208,"Suem28",52256312,"11.8",1,"T0",NA,1,"DOMESTICDOG","1","NOSNOWBAREGROUND",NA,NA,NA,16695,"73366533",5,"R1","C23_SD17_R1_IMG_0004.JPG","C23_SD17_R1_IMG_0005.JPG","C23_SD17_R1_IMG_0006.JPG","23","17","62"
